iter	Passed	Remaining
664	1609	810
665	1611	808
666	1613	805
667	1614	802
668	1617	800
669	1619	797
670	1620	794
671	1623	792
672	1625	789
673	1627	787
674	1628	784
675	1630	781
676	1632	778
677	1633	775
678	1636	773
679	1639	771
680	1640	768
681	1641	765
682	1643	762
683	1645	760
684	1646	757
685	1649	755
686	1652	752
687	1653	749
688	1655	747
689	1657	744
690	1658	741
691	1660	739
692	1662	736
693	1665	734
694	1667	731
695	1668	728
696	1670	725
697	1671	723
698	1673	720
699	1674	717
700	1678	715
701	1680	713
702	1681	710
703	1683	707
704	1685	705
705	1685	702
706	1687	699
707	1691	697
708	1692	694
709	1694	692
710	1696	689
711	1697	686
712	1699	683
713	1700	681
714	1704	679
715	1706	676
716	1708	674
717	1709	671
718	1711	668
719	1712	666
720	1714	663
721	1717	661
722	1719	658
723	1721	656
724	1722	653
725	1724	650
726	1725	648
727	1727	645
728	1730	643
729	1733	641
730	1734	638
731	1736	635
732	1738	633
733	1739	630
734	1741	627
735	1744	625
736	1746	623
737	1747	620
738	1748	617
739	1750	614
740	1752	612
741	1753	609
742	1755	607
743	1758	605
744	1760	602
745	1762	599
746	1763	597
747	1764	594
748	1766	592
749	1768	589
750	1771	587
751	1773	585
752	1775	582
753	1776	579
754	1778	577
755	1780	574
756	1781	571
757	1784	569
758	1786	567
759	1788	564
760	1789	562
761	1791	559
762	1793	557
763	1794	554
764	1796	551
765	1799	549
766	1801	547
767	1802	544
768	1804	541
769	1805	539
770	1807	536
771	1809	534
772	1811	532
773	1814	529
774	1815	527
775	1817	524
776	1818	521
777	1820	519
778	1822	516
779	1823	514
780	1826	512
781	1828	509
782	1829	507
783	1831	504
784	1833	502
785	1834	499
786	1835	496
787	1839	494
788	1841	492
789	1842	489
790	1844	487
791	1845	484
792	1847	482
793	1848	479
794	1850	477
795	1853	475
796	1855	472
797	1856	470
798	1858	467
799	1859	464
800	1861	462
801	1862	459
802	1865	457
803	1867	455
804	1869	452
805	1870	450
806	1871	447
807	1873	445
808	1875	442
809	1876	440
810	1879	438
811	1881	435
812	1883	433
813	1884	430
814	1886	428
815	1887	425
816	1888	423
817	1889	420
818	1894	418
819	1895	416
820	1897	413
821	1898	411
822	1900	408
823	1901	406
824	1903	403
825	1904	401
826	1907	399
827	1909	396
828	1910	394
829	1912	391
830	1914	389
831	1915	386
832	1917	384
833	1919	382
834	1921	379
835	1923	377
836	1925	374
837	1926	372
838	1928	370
839	1929	367
840	1931	365
841	1935	363
842	1937	360
843	1938	358
844	1939	355
845	1941	353
846	1943	351
847	1947	349
848	1949	346
849	1950	344
850	1952	341
851	1953	339
852	1955	336
853	1956	334
854	1959	332
855	1961	329
856	1963	327
857	1964	325
858	1965	322
859	1967	320
860	1969	317
861	1970	315
862	1974	313
863	1975	311
864	1977	308
865	1978	306
866	1980	303
867	1981	301
868	1983	299
869	1985	296
870	1988	294
871	1990	292
872	1991	289
873	1993	287
874	1994	284
875	1996	282
876	1997	280
877	2001	278
878	2002	275
879	2004	273
880	2005	270
881	2007	268
882	2008	266
883	2010	263
884	2011	261
885	2014	259
886	2016	256
887	2018	254
888	2019	252
889	2021	249
890	2022	247
891	2024	245
892	2027	242
893	2029	240
894	2031	238
895	2032	235
896	2034	233
897	2036	231
898	2037	228
899	2040	226
900	2042	224
901	2044	222
902	2046	219
903	2047	217
904	2049	215
905	2050	212
906	2053	210
907	2056	208
908	2057	205
909	2059	203
910	2061	201
911	2062	199
912	2064	196
913	2066	194
914	2069	192
915	2071	189
916	2072	187
917	2074	185
918	2075	182
919	2077	180
920	2079	178
921	2082	176
922	2084	173
923	2086	171
924	2089	169
925	2091	167
926	2093	164
927	2094	162
928	2096	160
929	2097	157
930	2098	155
931	2100	153
932	2104	151
933	2105	148
934	2106	146
935	2108	144
936	2109	141
937	2110	139
938	2112	137
939	2114	134
940	2117	132
941	2118	130
942	2120	128
943	2121	125
944	2123	123
945	2124	121
946	2126	119
947	2129	116
948	2130	114
949	2132	112
950	2133	109
951	2136	107
952	2137	105
953	2139	103
954	2140	100
955	2143	98
956	2145	96
957	2146	94
958	2148	91
959	2149	89
960	2151	87
961	2153	85
962	2155	82
963	2157	80
964	2159	78
965	2160	76
966	2162	73
967	2163	71
968	2165	69
969	2167	67
970	2169	64
971	2171	62
972	2175	60
973	2177	58
974	2180	55
975	2182	53
976	2183	51
977	2185	49
978	2188	46
979	2192	44
980	2197	42
981	2199	40
982	2201	38
983	2203	35
984	2204	33
985	2206	31
986	2209	29
987	2212	26
988	2213	24
989	2215	22
990	2217	20
991	2218	17
992	2220	15
993	2222	13
994	2225	11
995	2226	8
996	2228	6
997	2229	4
998	2231	2
999	2233	0
